image1,image2,similar,elapsed
./imgs/arctichare.gif,./imgs/airplane.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/arctichare.bmp,0.012462702288001282, 0.101301
./imgs/arctichare.gif,./imgs/arctichare.jpg,0.01960990932758866, 0.098268
./imgs/arctichare.gif,./imgs/arctichare.png,0.012462702288001282, 0.101269
./imgs/arctichare.gif,./imgs/baboon.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/baboon.gif,1.0, 0.000005
./imgs/arctichare.gif,./imgs/baboon.jpg,1.0, 0.000005
./imgs/arctichare.gif,./imgs/baboon.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/boat.bmp,1.0, 0.000008
./imgs/arctichare.gif,./imgs/boat.gif,1.0, 0.000004
./imgs/arctichare.gif,./imgs/boat.jpg,1.0, 0.000005
./imgs/arctichare.gif,./imgs/boat.png,1.0, 0.000004
./imgs/arctichare.gif,./imgs/cat.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/cat.gif,1.0, 0.000005
./imgs/arctichare.gif,./imgs/cat.jpg,1.0, 0.000005
./imgs/arctichare.gif,./imgs/cat.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/fruits.bmp,1.0, 0.000004
./imgs/arctichare.gif,./imgs/fruits.gif,1.0, 0.000004
./imgs/arctichare.gif,./imgs/fruits.jpg,1.0, 0.000004
./imgs/arctichare.gif,./imgs/fruits.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/frymire.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/frymire.gif,1.0, 0.000006
./imgs/arctichare.gif,./imgs/frymire.jpg,1.0, 0.000007
./imgs/arctichare.gif,./imgs/frymire.png,1.0, 0.000006
./imgs/arctichare.gif,./imgs/girl.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/girl.gif,1.0, 0.000004
./imgs/arctichare.gif,./imgs/girl.jpg,1.0, 0.000005
./imgs/arctichare.gif,./imgs/girl.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/goldhill.bmp,1.0, 0.000007
./imgs/arctichare.gif,./imgs/goldhill.gif,1.0, 0.000004
./imgs/arctichare.gif,./imgs/goldhill.jpg,1.0, 0.000004
./imgs/arctichare.gif,./imgs/goldhill.png,1.0, 0.000004
./imgs/arctichare.gif,./imgs/lena.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/lena.gif,1.0, 0.000004
./imgs/arctichare.gif,./imgs/lena.jpg,1.0, 0.000006
./imgs/arctichare.gif,./imgs/lena.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/monarch.bmp,1.0, 0.000005
./imgs/arctichare.gif,./imgs/monarch.gif,1.0, 0.000005
./imgs/arctichare.gif,./imgs/monarch.jpg,1.0, 0.000008
./imgs/arctichare.gif,./imgs/monarch.png,1.0, 0.000005
./imgs/arctichare.gif,./imgs/peppers.bmp,1.0, 0.000007
./imgs/arctichare.gif,./imgs/peppers.gif,1.0, 0.000005
./imgs/arctichare.gif,./imgs/peppers.jpg,1.0, 0.000005
